,video_name_8,video_gk_8, frame_count_8,video_name_16,video_gk_16, frame_count_16
345,AshdodPort_D20210802_Pn2_SSummer_N00087_CtNone_H035_LcSunlight_Ds05000_LtCalm_LfSea_VrNone_StStaged_LdTopLight_B02_V00_Js02_P07_T28_MWIR_unknown-8bit,6420,1745,AshdodPort_D20210802_Pn2_SSummer_N00087_CtNone_H035_LcSunlight_Ds05000_LtCalm_LfSea_VrNone_StStaged_LdTopLight_B02_V00_Js02_P07_T28_flir,2016,1731
346,EinYahav_Sbsolarpanel_D20211109_Pn2_SSummer_N00156_CtUninhabited_H015_LcQuarterMoon_Ds04500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T19_TsTrack_Set000_MWIR_unknown-8bit,6713,1746,EinYahav_Sbsolarpanel_D20211109_Pn2_SSummer_N00156_CtUninhabited_H015_LcQuarterMoon_Ds04500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T19_TsTrack_Set000_flir,2372,1728
347,Harel_D20211012_115149_SSummer_N00039_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,6886,1758,Harel_D20211012_115149_SSummer_N00039_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_flir,2450,1814
348,Harel_D20211012_115149_SSummer_N00036_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,6882,1758,Harel_D20211012_115149_SSummer_N00036_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_flir,2447,1819
349,Harel_D20211011_134606_SSummer_N00033_CtUninhabited_H000_LcFullDaylight_Ds04000_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V01_Js02_P00_T26_MWIR_unknown-8bit,6828,1764,Harel_D20211011_134606_SSummer_N00033_CtUninhabited_H000_LcFullDaylight_Ds04000_LtNone_LfHills_VrGrassland_StStaged_LdSideLight_B00_V01_Js02_P00_T26_flir,2401,1877
350,AshdodPort_D20210802_Pn2_SSummer_N00079_CtNone_H035_LcSunlight_Ds02000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_MWIR_unknown-8bit,6409,1767,AshdodPort_D20210802_Pn2_SSummer_N00079_CtNone_H035_LcSunlight_Ds02000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_flir,2008,1728
351,Harel_D20211011_134606_SSummer_N00024_CtUninhabited_H000_LcFullDaylight_Ds01700_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V01_Js02_P00_T26_MWIR_unknown-8bit,6818,1769,Harel_D20211011_134606_SSummer_N00024_CtUninhabited_H000_LcFullDaylight_Ds01700_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V01_Js02_P00_T26_flir,2392,2028
352,AshdodPort_D20210802_Pn2_SSummer_N00052_CtNone_H035_LcSunlight_Ds02000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_MWIR_unknown-8bit,6372,1782,AshdodPort_D20210802_Pn2_SSummer_N00052_CtNone_H035_LcSunlight_Ds02000_LtCalm_LfSea_VrNone_StNatural_LdTopLight_B01_V00_Js00_P00_T28_flir,1983,1763
353,HavatHabaron_D20210824_Pn2_SSummer_N00077_CtUrban_H080_LcTwilight_Ds06000_LtNone_LfPlateaus_VrScrubs_StNatural_LdSideLight_B00_V05_Js00_P00_T25_MWIR_unknown-8bit,7170,1788,HavatHabaron_D20210824_Pn2_SSummer_N00077_CtUrban_H080_LcTwilight_Ds06000_LtNone_LfPlateaus_VrScrubs_StNatural_LdSideLight_B00_V05_Js00_P00_T25_flir,2561,1765
354,Harel_D20211012_115149_SSummer_N00034_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_MWIR_unknown-8bit,6880,1812,Harel_D20211012_115149_SSummer_N00034_CtRustic_H000_LcOvercastDay_Ds00900_LtNone_LfHills_VrGrassland_StStaged_LdTopLight_B00_V00_Js00_P09_T25_flir,2445,1868
